City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kahama,TZ,71.38,scattered clouds,-3.8333,32.6,Kahama Gold Hotel
2,Rikitea,PF,76.6,few clouds,-23.1203,-134.9692,People ThankYou
5,New Norfolk,AU,56.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
7,Mutata,CO,78.6,overcast clouds,7.2441,-76.4356,RESIDENCIA ZULIMA
9,Mataura,NZ,55.99,overcast clouds,-46.1927,168.8643,Ellie's Villa
10,Bathsheba,BB,81.59,broken clouds,13.2167,-59.5167,Atlantis Hotel
11,Bandundu,CD,72.0,light rain,-3.3167,17.3667,Coja Color
13,Puerto Ayora,EC,71.89,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Arraial Do Cabo,BR,74.34,clear sky,-22.9661,-42.0278,Pousada Porto Praia
16,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
18,Bluff,NZ,53.55,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
19,Cayenne,GF,84.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
20,Zhicheng,CN,51.93,clear sky,30.2956,111.5047,Wangjiang Building
22,San Felipe,VE,78.96,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
23,Kandrian,PG,76.98,overcast clouds,-6.2167,149.55,Kandrian Station
24,Gladstone,AU,78.73,light rain,-23.85,151.25,Highpoint International
25,Catuday,PH,78.66,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
27,Yulara,AU,60.19,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
28,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
29,Muros,ES,54.84,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
30,Busselton,AU,59.09,scattered clouds,-33.65,115.3333,Observatory Guest House
33,Sao Lourenco Do Sul,BR,78.85,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
34,Castro,BR,81.18,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
35,Kapaa,US,79.2,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Samana,DO,88.02,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
37,Flinders,AU,70.21,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
