City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salym,RU,60.0625,71.4789,4.35,96,76,6.98,broken clouds
1,Kahama,TZ,-3.8333,32.6,71.38,63,41,4.47,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,76.6,77,18,14.92,few clouds
3,Talnakh,RU,69.4865,88.3972,11.43,95,100,7.83,overcast clouds
4,Kodiak,US,57.79,-152.4072,20.71,63,90,12.66,overcast clouds
5,New Norfolk,AU,-42.7826,147.0587,56.66,63,10,1.99,clear sky
6,Ushuaia,AR,-54.8,-68.3,49.66,57,40,26.46,scattered clouds
7,Mutata,CO,7.2441,-76.4356,78.6,90,100,0.43,overcast clouds
8,Vestmannaeyjar,IS,63.4427,-20.2734,33.57,63,100,11.39,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,55.99,61,100,2.57,overcast clouds
10,Bathsheba,BB,13.2167,-59.5167,81.59,78,80,10.85,broken clouds
11,Bandundu,CD,-3.3167,17.3667,72.0,98,100,4.12,light rain
12,Zaysan,KZ,47.4667,84.8667,28.81,77,76,3.02,broken clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,71.89,70,65,10.98,broken clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,74.34,82,0,11.27,clear sky
15,Hornepayne,CA,49.2138,-84.7705,36.54,91,100,1.54,overcast clouds
16,Georgetown,MY,5.4112,100.3354,76.95,96,40,2.3,scattered clouds
17,Dikson,RU,73.5069,80.5464,8.28,88,100,9.64,overcast clouds
18,Bluff,NZ,-46.6,168.3333,53.55,74,100,7.7,overcast clouds
19,Cayenne,GF,4.9333,-52.3333,84.09,81,40,3.0,scattered clouds
20,Zhicheng,CN,30.2956,111.5047,51.93,68,0,3.15,clear sky
21,Tasiilaq,GL,65.6145,-37.6368,26.76,89,100,5.55,overcast clouds
22,San Felipe,VE,10.3399,-68.7425,78.96,84,98,5.08,overcast clouds
23,Kandrian,PG,-6.2167,149.55,76.98,88,100,4.74,overcast clouds
24,Gladstone,AU,-23.85,151.25,78.73,83,75,6.91,light rain
25,Catuday,PH,16.2923,119.8062,78.66,74,75,9.37,broken clouds
26,Tiksi,RU,71.6872,128.8694,-9.6,93,100,5.84,overcast clouds
27,Yulara,AU,-25.2406,130.9889,60.19,74,0,12.71,clear sky
28,Avarua,CK,-21.2078,-159.775,78.85,69,90,9.22,overcast clouds
29,Muros,ES,42.7762,-9.0603,54.84,78,58,11.99,broken clouds
30,Busselton,AU,-33.65,115.3333,59.09,79,48,11.79,scattered clouds
31,Ostrovnoy,RU,68.0531,39.5131,28.6,49,99,22.84,overcast clouds
32,Khatanga,RU,71.9667,102.5,-11.07,96,32,4.83,scattered clouds
33,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,78.85,48,0,11.43,clear sky
34,Castro,BR,-24.7911,-50.0119,81.18,48,43,5.39,scattered clouds
35,Kapaa,US,22.0752,-159.319,79.2,70,2,1.99,clear sky
36,Samana,DO,19.2056,-69.3369,88.02,70,40,4.61,scattered clouds
37,Flinders,AU,-34.5833,150.8552,70.21,93,100,1.01,moderate rain
38,Khorramshahr,IR,30.4397,48.1664,53.55,33,51,9.55,broken clouds
39,Asau,RO,46.4333,26.4,32.76,85,6,3.42,clear sky
40,Barrow,US,71.2906,-156.7887,-7.58,77,75,9.22,broken clouds
41,Ponta Do Sol,PT,32.6667,-17.1,65.03,63,76,8.77,broken clouds
42,Haines Junction,CA,60.7522,-137.5108,6.84,94,100,1.97,light snow
43,Bambous Virieux,MU,-20.3428,57.7575,76.21,76,22,9.35,few clouds
44,Narsaq,GL,60.9167,-46.05,32.22,99,100,6.69,heavy snow
45,Quito,EC,-0.2299,-78.5249,60.4,81,100,3.69,light rain
46,Cidreira,BR,-30.1811,-50.2056,69.78,64,0,15.99,clear sky
47,Carnarvon,AU,-24.8667,113.6333,62.67,82,0,6.91,clear sky
48,Vaini,TO,-21.2,-175.2,84.36,79,20,4.61,few clouds
49,Marystown,CA,47.1666,-55.1483,52.86,100,100,13.0,overcast clouds
50,Waddan,LY,29.1614,16.139,72.21,33,100,4.03,overcast clouds
51,Altagracia De Orituco,VE,9.8601,-66.3814,84.16,66,60,3.83,broken clouds
52,Saldanha,ZA,-33.0117,17.9442,64.06,68,0,18.21,clear sky
53,Tigil,RU,57.8,158.6667,6.46,90,8,4.0,clear sky
54,Jamestown,US,42.097,-79.2353,45.99,54,1,5.01,clear sky
55,Eresos,GR,39.1667,25.9333,54.91,73,38,19.39,scattered clouds
56,Albany,US,42.6001,-73.9662,42.67,50,0,4.92,clear sky
